Serial Number,Error Type,Ungrammatical Statement,Standard English
4739,Faulty Comparisons,The weather is less hotter today than yesterday.,The weather is cooler today than yesterday.
4740,Tautology,Please RSVP as soon as possible.,Please RSVP.
4741,Incorrect Auxiliaries,The cake are ready to be served.,The cake is ready to be served.
4742,Redundancy/Repetition,The little small puppy was so cute.,The little puppy was so cute.
4743,Modifiers Misplacement,The play was directed by a renowned director with an unusual twist.,The play with an unusual twist was directed by a renowned director.
4744,Mixed Conditionals,"If she will take the medicine, she would have felt better.","If she took the medicine, she would feel better."
4745,"Slang, Jargon, and Colloquialisms",28. I gotta get this report done by tomorrow.,28. I have to finish this report by tomorrow.
4746,Infinitive Errors,He aimed to dramatically improve his grades.,He aimed to improve his grades dramatically.
4747,Faulty Comparisons,The new employee is more punctual than the old one.,The new employee is more punctual than the old one.
4748,Redundancy/Repetition,The cake is sweet and has a sugary taste.,The cake is sweet.
4749,Passive Voice Overuse,The music was composed by the artist for the film.,The artist composed the music for the film.
4750,Mixed Conditionals,"If it was warmer, we will go swimming.","If it were warmer, we would go swimming."
4751,Ambiguity,The girl draw a picture.,The girl drew a picture.
4752,Sentence Structure Errors,The concert will be held at the park on Saturday.,The concert will be held at the park this Saturday.
4753,Ellipsis Errors,The test was difficult... managed to pass.,"The test was difficult, but I managed to pass."
4754,Verb Tense Errors,She is going to shopping after work.,She is going shopping after work.
4755,Spelling Mistakes,59. The paintings in the museum were truly breath taking.,59. The paintings in the museum were truly breathtaking.
4756,Contractions Errors,The team lost they're motivation after the loss.,The team lost their motivation after the loss.
4757,Clichés,Don't count chickens they hatch.,Don't count your chickens before they hatch.
4758,Quantifier Errors,Many of cars are electric nowadays.,Many cars are electric nowadays.
4759,Faulty Comparisons,My new phone is more thinner than my old one.,My new phone is thinner than my old one.
4760,Preposition Usage,The vase is placed on the table.,The vase is placed upon the table.
4761,Sentence Structure Errors,"After much thought, he decided to buy a new car.","After much thought, he decided to buy a new car."
4762,Lack of Parallelism in Lists or Series,"He plans to study law, gain work experience, and to pursue a career as a lawyer.","He plans to study law, gain work experience, and pursue a career as a lawyer."
4763,Tautology,This is a true fact that cannot be disputed.,This is a fact that cannot be disputed.
4764,Ellipsis Errors,The restaurant was packed... had to wait for a table.,"The restaurant was packed, so we had to wait for a table."
4765,Relative Clause Errors,The museum exhibits ancient artifacts is in London.,The museum that exhibits ancient artifacts is in London.
4766,Article Usage,The team is celebrating their victory in a competition.,The team is celebrating their victory in the competition.
4767,Relative Clause Errors,The author book I'm reading is from Ireland.,The author whose book I'm reading is from Ireland.
4768,Subject-Verb Agreement,The plants in the garden has grown significantly.,The plants in the garden have grown significantly.
4769,Passive Voice Overuse,The contract was signed by the CEO after reviewing the terms.,The CEO signed the contract after reviewing the terms.
4770,Article Usage,The chef is preparing a delicious meal in a kitchen.,The chef is preparing a delicious meal in the kitchen.
4771,Spelling Mistakes,44. The movie was very interesting and full of suspence.,44. The movie was very interesting and full of suspense.
4772,Gerund and Participle Errors,The company was fined for pollute the river.,The company was fined for polluting the river.
4773,Sentence Structure Errors,The weather is very hot today; I need a cold drink.,The weather is very hot today; I need a cold drink.
4774,Subject-Verb Agreement,The film festival have a great lineup this year.,The film festival has a great lineup this year.
4775,Subject-Verb Agreement,The plants in the garden has grown significantly.,The plants in the garden have grown significantly.
4776,Ellipsis Errors,I went to the store... bought milk.,I went to the store and bought milk.
4777,Subject-Verb Agreement,The class of students was eager to learn.,The class of students were eager to learn.
4778,Subject-Verb Agreement,The package of documents need to be delivered by tomorrow.,The package of documents needs to be delivered by tomorrow.
4779,Infinitive Errors,The director instructed to subtly change the scene.,The director instructed to change the scene subtly.
4780,Modifiers Misplacement,The article was written by a journalist on the front page about political scandals.,The article about political scandals was written by a journalist on the front page.
4781,Agreement in Comparative and Superlative Forms,He is the most oldest person in the family.,He is the oldest person in the family.
4782,Punctuation Errors,The weather is terrible today it's been raining nonstop.,The weather is terrible today; it's been raining nonstop.
4783,Abbreviation Errors,"Plz send me the PDF, not the DOC file.","Please send me the Portable Document Format, not the Word Document file."
4784,Sentence Fragments,"She crying, felt sad.",She was crying because she felt sad.
4785,Article Usage,I went to a school yesterday.,I went to school yesterday.
4786,Preposition Usage,The bus stopped at the corner.,The bus stopped on the corner.
4787,Sentence Fragments,"The wind, strong, trees swaying.","The wind was strong, and the trees were swaying."
4788,Verb Tense Errors,The cat was lay on the sofa.,The cat was lying on the sofa.
4789,Verb Tense Errors,The concert begins in an hour.,The concert will begin in an hour.
4790,Sentence Structure Errors,The cat chased the mouse but it couldn't catched it.,The cat chased the mouse but couldn't catch it.
4791,Punctuation Errors,I can't find my keys have you seen them?,I can't find my keys; have you seen them?
4792,Negation Errors,She didn't never visit the museum.,She never visited the museum.
4793,Gerund and Participle Errors,I am look forward to meet you in person.,I am looking forward to meeting you in person.
4794,Subject-Verb Agreement,The list of ingredients in the recipe need revision.,The list of ingredients in the recipe needs revision.
4795,Abbreviation Errors,"My flight was del'd, so I'll arr late.","My flight was delayed, so I'll arrive late."
4796,Conjunction Misuse,"He's smart, but he's lazy.",He's smart but lazy.
4797,Inappropriate Register,The new regulations will help in reducin' pollution and conservin' natural resources.,The new regulations will help in reducing pollution and conserving natural resources.
4798,Verb Tense Errors,He is take a break from work.,He is taking a break from work.
4799,Agreement in Comparative and Superlative Forms,The weather today is most hotter than yesterday.,The weather today is hotter than yesterday.
